,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-25,2025-10-26,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-15,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-13,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-27,2025-12-28,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-10,2026-01-11,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-17,2026-01-18,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-24,2026-01-25,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28,2026-03-01,2026-03-02,2026-03-03,2026-03-04,2026-03-05,2026-03-06,2026-03-07,2026-03-08,2026-03-09,2026-03-10,2026-03-11,2026-03-12,2026-03-13,2026-03-14,2026-03-15,2026-03-16,2026-03-17,2026-03-18,2026-03-19,2026-03-20,2026-03-21,2026-03-22,2026-03-23,2026-03-24,2026-03-25,2026-03-26,2026-03-27,2026-03-28,2026-03-29,2026-03-30,2026-03-31,2026-04-01,2026-04-02,2026-04-03,2026-04-04,2026-04-05,2026-04-06,2026-04-07,2026-04-08,2026-04-09,2026-04-10
Atlanta Hawks,1000.0,988.3,988.3,992.48,984.84,984.84,984.84,980.7,985.03,985.03,993.81,993.81,988.04,988.04,988.04,995.99,995.99,995.99,989.28,999.05,999.05,1002.34,1002.34,1012.48,1018.16,1018.16,1018.16,1021.06,1021.06,1015.89,1015.89,1010.33,1010.33,1019.43,1019.43,1019.43,1007.84,1007.84,1007.84,1013.36,1018.85,1018.85,1017.09,1017.09,1005.45,1005.45,1003.79,1009.08,1009.08,1009.08,1009.08,1009.08,1009.08,1000.39,1003.99,1003.99,1003.99,1003.99,1003.99,997.98,989.28,986.2,986.2,986.2,982.49,982.49,982.49,975.1,972.57,972.57,968.86,981.04,981.04,981.04,989.78,982.0,982.0,974.38,974.38,980.74,980.74,992.64,992.64,1000.61,1000.61,990.62,990.62,982.23,982.23,974.59,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17,997.17
Boston Celtics,1000.0,998.0,998.0,991.81,991.81,987.03,987.03,998.48,1007.54,1007.54,1009.59,1009.59,999.28,999.28,996.36,996.36,1005.88,1005.88,998.32,1002.3,1002.3,1002.3,999.58,1010.56,1010.56,1010.56,1013.69,1013.69,1013.69,1019.6,1019.6,1019.6,1012.57,1018.84,1018.84,1018.84,1022.76,1022.76,1022.76,1018.76,1021.58,1021.58,1021.58,1026.89,1026.89,1035.57,1044.95,1050.27,1050.27,1050.27,1050.27,1050.27,1040.72,1040.72,1040.72,1040.72,1035.95,1035.95,1035.95,1035.95,1042.81,1050.35,1050.35,1053.85,1053.85,1053.85,1053.85,1058.81,1052.47,1052.47,1052.47,1057.09,1057.09,1061.22,1061.22,1070.08,1070.08,1075.31,1075.31,1071.16,1071.16,1076.1,1071.66,1071.66,1067.49,1067.49,1067.49,1071.2,1071.2,1078.84,1078.84,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96,1076.96
Brooklyn Nets,1000.0,991.28,991.28,985.87,985.87,979.8,979.8,969.65,965.32,965.32,965.32,965.32,956.91,956.91,949.86,949.86,956.25,956.25,949.35,939.7,939.7,939.7,934.59,934.59,934.59,930.36,939.75,939.75,939.75,933.84,933.84,933.84,940.87,936.33,936.33,930.87,930.87,930.87,930.87,925.25,918.11,918.11,926.16,926.16,933.29,926.59,934.56,934.56,934.56,934.56,934.56,934.56,934.56,929.44,944.7,944.7,944.7,944.7,944.7,939.37,939.37,948.78,948.78,948.78,955.62,955.62,955.62,955.62,965.88,965.88,959.64,959.64,952.95,952.95,942.62,951.97,951.97,951.97,951.97,950.29,950.29,942.91,938.82,938.82,933.18,933.18,929.28,929.28,933.04,933.04,924.26,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35,920.35
Charlotte Hornets,1000.0,1008.72,1008.72,1008.72,1004.64,1014.56,1014.56,1004.13,1004.13,995.53,995.53,987.15,997.04,997.04,997.04,992.59,992.59,992.59,984.49,984.49,984.49,978.66,978.66,986.0,986.0,979.26,974.21,974.21,971.8,971.8,964.9,964.9,957.09,954.21,954.21,954.21,954.21,945.84,945.84,958.51,958.51,958.51,950.46,950.46,944.78,944.78,957.38,953.21,953.21,953.21,953.21,953.21,953.21,949.67,956.44,956.44,956.44,956.44,956.44,962.45,962.45,955.48,955.48,950.79,957.61,957.61,957.61,966.84,966.84,966.84,960.4,956.0,956.0,956.0,954.05,961.58,961.58,977.11,977.11,975.38,971.75,971.75,984.91,984.91,979.35,979.35,979.35,988.61,988.61,980.91,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82,992.82
Chicago Bulls,1000.0,1000.0,1004.0,1004.0,1010.84,1010.84,1010.84,1014.98,1014.98,1021.64,1021.64,1027.57,1027.57,1019.97,1019.97,1022.82,1022.82,1022.82,1014.54,1009.57,1009.57,1005.86,1005.86,999.77,999.77,999.77,999.77,996.02,1000.15,1000.15,1002.07,1002.07,990.71,992.21,992.21,983.46,983.46,983.46,983.46,977.6,974.37,974.37,970.71,970.71,963.58,963.58,954.88,954.88,945.14,945.14,945.14,945.14,945.14,948.68,948.68,941.6,941.6,941.6,951.2,951.2,958.8,961.88,961.88,961.88,965.59,965.59,965.59,971.64,965.34,965.34,956.21,956.21,963.29,963.29,969.4,961.87,961.87,956.64,956.64,951.77,951.77,951.77,960.18,960.18,960.18,956.61,959.2,959.2,955.44,955.44,964.22,964.22,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07,976.07
Cleveland Cavaliers,1000.0,983.22,983.22,988.63,988.63,993.44,1002.9,1002.9,993.84,993.84,986.97,986.97,992.74,992.74,992.74,992.74,999.9,999.9,1009.63,1014.6,1014.6,1011.82,1011.82,1019.55,1012.19,1016.99,1016.99,1016.99,1023.69,1023.69,1017.88,1017.88,1022.81,1029.38,1029.38,1023.06,1023.06,1023.06,1023.06,1017.54,1014.72,1014.72,1020.84,1020.84,1013.03,1013.03,1021.0,1016.24,1016.24,1016.24,1016.24,1016.24,1016.24,1018.79,1012.02,1012.02,1012.02,1012.02,1002.42,1002.42,994.82,994.82,994.82,999.51,1007.33,1005.0,1005.0,1005.0,998.15,998.15,1006.73,1015.46,1015.46,1015.46,1020.69,1017.35,1017.35,1017.35,1019.82,1019.82,1014.6,1022.63,1022.63,1022.63,1014.08,1014.08,1024.94,1024.94,1027.78,1027.78,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69,988.69
Dallas Mavericks,1000.0,1000.0,988.51,988.51,982.19,988.91,988.91,984.18,984.18,986.99,986.99,986.99,980.4,980.4,975.43,975.43,972.5,972.5,965.06,969.56,969.56,967.09,967.09,961.86,961.86,957.1,957.1,962.11,953.99,953.99,951.75,951.75,954.96,950.15,950.15,947.14,947.14,947.14,947.14,942.47,946.58,946.58,955.04,955.04,962.99,962.99,957.93,967.58,967.58,967.58,967.58,967.58,967.58,972.7,972.7,972.7,967.13,967.13,967.13,970.85,970.85,966.27,966.27,960.85,963.54,958.15,958.15,952.45,952.45,952.45,949.06,949.06,949.06,942.58,942.58,949.33,949.33,949.33,951.54,951.54,948.53,948.53,940.12,940.12,945.76,945.76,941.67,950.6,958.25,958.25,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2,968.2
Denver Nuggets,1000.0,1000.0,1000.0,995.19,995.19,1004.52,1004.52,1011.62,1011.62,1022.22,1022.22,1019.3,1019.3,1019.3,1023.72,1023.72,1029.87,1029.87,1039.24,1045.77,1045.77,1045.77,1051.59,1057.51,1057.51,1057.51,1063.59,1063.59,1059.46,1059.46,1062.86,1062.86,1066.27,1060.05,1060.05,1064.71,1064.71,1064.71,1064.71,1061.07,1068.86,1068.86,1060.4,1060.4,1065.28,1065.28,1066.94,1071.11,1071.11,1071.11,1071.11,1071.11,1077.62,1077.62,1077.62,1077.62,1081.03,1081.03,1081.03,1086.81,1078.81,1078.81,1078.81,1085.1,1082.41,1082.41,1086.15,1086.15,1083.75,1083.75,1071.98,1071.98,1074.86,1074.86,1069.63,1060.28,1060.28,1062.05,1062.05,1066.2,1066.2,1054.3,1054.3,1057.38,1057.38,1060.11,1064.2,1064.2,1064.2,1066.69,1054.78,1054.78,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27,1048.27
Detroit Pistons,1000.0,1000.0,996.0,996.0,1000.02,1004.8,995.34,995.34,1003.83,1003.83,1003.83,1003.83,1010.42,1010.42,1015.68,1015.68,1021.84,1021.84,1028.74,1028.74,1032.11,1034.15,1034.15,1040.24,1040.24,1045.87,1045.87,1045.87,1051.02,1056.19,1056.19,1056.19,1056.19,1062.11,1062.11,1064.86,1060.94,1060.94,1060.94,1057.21,1060.54,1060.54,1062.3,1062.3,1057.32,1057.32,1061.2,1066.41,1066.41,1066.41,1066.41,1066.41,1066.41,1075.1,1075.1,1075.1,1079.87,1079.87,1079.87,1076.15,1076.15,1083.12,1083.12,1086.99,1090.09,1090.09,1090.09,1086.13,1086.13,1076.45,1076.45,1084.23,1084.23,1078.5,1078.5,1081.84,1081.84,1092.2,1092.2,1097.07,1097.07,1097.07,1090.64,1090.64,1090.64,1090.64,1090.64,1093.69,1093.69,1100.07,1100.07,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95,1101.95
Golden State Warriors,1000.0,1006.32,1006.32,1011.13,1001.8,1001.8,1001.8,1009.04,1017.8,1017.8,1011.45,1006.44,1006.44,1006.44,1006.44,1012.88,1007.99,1007.99,998.62,998.62,1008.5,1008.5,1000.41,1005.37,1005.37,1007.53,1007.53,1014.42,1014.42,1008.63,1001.25,1001.25,997.06,997.06,997.06,1004.41,1004.41,1001.08,1001.08,1001.08,1005.47,1005.47,1005.47,1000.85,1000.85,998.87,998.87,1003.63,1013.37,1013.37,1013.37,1013.37,1013.37,1008.49,1008.49,1003.38,1003.38,1003.38,1003.38,1001.46,1001.46,1005.1,1005.1,1015.43,1015.43,1020.82,1020.82,1020.82,1012.94,1012.94,1019.18,1023.58,1023.58,1023.58,1015.55,1020.33,1020.33,1018.1,1018.1,1022.7,1022.7,1029.56,1029.56,1021.59,1021.59,1029.91,1029.91,1037.4,1037.4,1045.1,1045.1,1053.68,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1,1044.1
