,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
Atlanta Hawks,997.17,988.3,992.48,984.84,980.7,985.03,993.81,988.04,995.99,989.28,999.05,1002.34,1012.48,1018.16,1021.06,1015.89,1010.33,1016.55,1019.43,1007.84,1013.36,1018.85,1017.09,1005.45,1003.79,1009.08,1000.39,1003.99,997.98,989.28,986.2,982.49,975.1,972.57,968.86,981.04,989.78,982.0,974.38,980.74,992.64,1000.61,990.62,982.23,974.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Celtics,998.0,991.81,987.03,998.48,1007.54,1009.59,999.28,996.36,1005.88,998.32,1002.3,999.58,1010.56,1013.69,1019.6,1012.57,1018.84,1022.76,1018.76,1021.58,1026.89,1035.57,1044.95,1050.27,1040.72,1035.95,1042.81,1050.35,1053.85,1058.81,1052.47,1057.09,1061.22,1070.08,1075.31,1071.16,1076.1,1071.66,1067.49,1071.2,1078.84,1076.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,991.28,985.87,979.8,969.65,965.32,956.91,949.86,956.25,949.35,939.7,934.59,930.36,939.75,933.84,940.87,936.33,930.87,925.25,918.11,926.16,933.29,926.59,934.56,929.44,944.7,939.37,948.78,955.62,965.88,959.64,952.95,942.62,951.97,950.29,942.91,938.82,933.18,929.28,933.04,924.26,920.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,1008.72,1004.64,1014.56,1004.13,995.53,987.15,997.04,992.59,984.49,978.66,986.0,979.26,974.21,971.8,964.9,957.09,954.21,945.84,951.7,958.51,950.46,944.78,957.38,953.21,949.67,956.44,962.45,955.48,950.79,957.61,966.84,960.4,956.0,954.05,961.58,977.11,975.38,971.75,984.91,979.35,988.61,980.91,992.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Bulls,1004.0,1010.84,1014.98,1021.64,1027.57,1019.97,1022.82,1014.54,1009.57,1005.86,999.77,996.02,1000.15,1002.07,990.71,992.21,983.46,977.6,974.37,970.71,963.58,954.88,945.14,948.68,941.6,951.2,958.8,961.88,965.59,971.64,965.34,956.21,963.29,969.4,961.87,956.64,951.77,960.18,956.61,959.2,955.44,964.22,976.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,988.69,983.22,988.63,993.44,1002.9,993.84,986.97,992.74,999.9,1009.63,1014.6,1011.82,1019.55,1012.19,1016.99,1023.69,1017.88,1022.81,1029.38,1023.06,1017.54,1014.72,1020.84,1013.03,1021.0,1016.24,1018.79,1012.02,1002.42,994.82,999.51,1007.33,1005.0,998.15,1006.73,1015.46,1020.69,1017.35,1019.82,1014.6,1022.63,1014.08,1024.94,1027.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,988.51,982.19,988.91,984.18,986.99,980.4,975.43,972.5,965.06,969.56,967.09,961.86,957.1,962.11,953.99,951.75,954.96,950.15,947.14,942.47,946.58,955.04,962.99,957.93,967.58,972.7,967.13,970.85,966.27,960.85,963.54,958.15,952.45,949.06,942.58,949.33,951.54,948.53,940.12,945.76,941.67,950.6,958.25,968.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Nuggets,995.19,1004.52,1011.62,1022.22,1019.3,1023.72,1029.87,1039.24,1045.77,1051.59,1057.51,1063.59,1059.46,1062.86,1066.27,1060.05,1064.71,1061.07,1068.86,1060.4,1065.28,1066.94,1071.11,1077.62,1081.03,1086.81,1078.81,1085.1,1082.41,1086.15,1083.75,1071.98,1074.86,1069.63,1060.28,1062.05,1066.2,1054.3,1057.38,1060.11,1064.2,1066.69,1054.78,1048.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Pistons,996.0,1000.02,1004.8,995.34,1003.83,1010.42,1015.68,1021.84,1028.74,1032.11,1034.15,1040.24,1045.87,1051.02,1056.19,1062.11,1064.86,1060.94,1057.21,1060.54,1062.3,1057.32,1061.2,1066.41,1075.1,1079.87,1076.15,1083.12,1086.99,1090.09,1086.13,1076.45,1084.23,1078.5,1081.84,1092.2,1097.07,1090.64,1093.69,1100.07,1101.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden State Warriors,1006.32,1011.13,1001.8,1009.04,1017.8,1011.45,1006.44,1012.88,1007.99,998.62,1008.5,1000.41,1005.37,1007.53,1014.42,1008.63,1001.25,997.06,1004.41,1001.08,1005.47,1000.85,998.87,1003.63,1013.37,1008.49,1003.38,1001.46,1005.1,1015.43,1020.82,1012.94,1019.18,1023.58,1015.55,1020.33,1018.1,1022.7,1029.56,1021.59,1029.91,1037.4,1045.1,1053.68,1044.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houston Rockets,998.07,994.05,1004.2,1012.32,1022.63,1027.6,1034.31,1027.47,1032.63,1039.47,1048.38,1051.94,1057.75,1054.34,1063.32,1066.65,1074.02,1066.43,1072.55,1080.29,1070.64,1072.49,1069.08,1062.74,1070.74,1067.83,1055.78,1064.33,1071.18,1073.92,1080.61,1073.86,1076.99,1074.44,1068.25,1057.22,1060.79,1054.08,1058.79,1062.05,1066.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana Pacers,995.29,985.23,981.35,978.54,969.76,974.77,972.3,965.91,959.38,949.5,940.22,930.97,924.61,919.46,926.36,921.43,918.68,916.89,928.22,931.45,925.33,920.45,929.15,935.69,930.69,920.76,919.61,910.91,907.41,900.3,895.34,888.28,885.54,883.73,880.6,876.98,874.51,878.14,891.74,895.91,890.93,896.63,890.25,886.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA Clippers,1004.0,994.73,1005.4,1010.69,1001.93,1004.49,1002.54,995.03,987.71,981.26,977.97,972.05,976.81,973.68,971.17,961.82,969.63,963.06,956.46,952.11,948.0,941.9,953.54,947.84,945.29,943.44,935.88,931.69,941.74,953.79,961.98,971.66,981.84,989.37,980.51,982.74,977.08,984.46,990.89,996.45,1001.69,1005.92,994.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,993.68,1002.42,1007.65,1000.0,1001.95,1006.37,1012.92,1018.59,1021.48,1011.71,1017.54,1008.62,1014.81,1024.63,1031.06,1033.33,1039.93,1044.6,1049.1,1040.28,1043.75,1034.37,1038.13,1031.04,1033.78,1038.25,1028.2,1018.04,1009.49,1016.46,1008.68,1013.66,1018.13,1021.89,1015.02,1010.48,1000.97,1010.96,1001.7,993.25,1002.07,1008.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,1004.9,993.3,1003.36,996.12,998.03,993.61,986.28,981.02,974.31,981.75,976.01,969.87,958.89,954.09,949.24,961.53,966.34,961.68,965.69,970.04,974.96,970.69,976.39,986.09,981.68,989.24,994.99,987.62,983.03,988.42,996.9,991.77,988.42,983.44,978.97,981.5,974.17,973.04,977.13,972.3,981.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami Heat,996.0,1007.6,1013.32,1023.75,1018.93,1012.38,1014.33,1008.18,1016.28,1020.68,1023.46,1015.73,1010.22,1013.21,1020.59,1031.95,1037.98,1040.99,1043.85,1040.52,1046.62,1038.67,1036.67,1025.94,1020.12,1013.65,1018.98,1012.12,1007.73,998.52,1005.91,1012.97,1024.74,1030.47,1024.37,1030.16,1020.34,1006.74,1002.3,1007.93,1004.22,1008.21,999.63,1004.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,1002.83,1009.9,1014.78,1009.97,1016.22,1022.57,1019.41,1021.88,1010.49,1018.77,1013.61,1016.08,1008.74,1015.48,1005.66,998.96,993.15,987.23,980.19,977.33,972.34,979.48,975.24,980.22,973.05,967.84,977.39,962.13,958.02,955.46,962.57,954.09,960.39,966.83,964.43,966.38,972.59,967.99,972.53,969.45,961.03,955.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,1004.0,995.26,999.14,992.04,990.09,998.47,1005.52,996.02,1008.26,1017.71,1022.32,1028.29,1022.21,1030.33,1034.82,1032.8,1027.03,1022.78,1026.78,1034.48,1037.99,1041.87,1044.42,1040.77,1045.65,1050.37,1044.62,1050.43,1052.99,1060.07,1056.33,1046.07,1055.2,1043.02,1049.12,1055.41,1065.23,1070.45,1062.42,1064.54,1072.96,1068.25,1064.89,1058.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,995.1,991.29,979.84,969.24,966.68,957.92,962.37,965.3,960.99,952.57,947.73,941.54,934.65,929.9,926.5,923.29,917.07,925.82,921.81,917.42,912.92,909.41,905.53,897.56,895.46,907.09,914.17,920.51,929.21,934.63,926.81,922.98,918.76,916.16,909.08,902.88,897.09,893.33,886.97,896.58,892.13,889.4,893.3,887.6,884.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
