,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
Anaheim Ducks,898.46,908.35,918.55,909.68,901.84,918.54,931.83,926.78,936.68,954.76,971.37,1075.32,1088.45,1097.98,1115.55,1093.52,1065.92,1044.25,1054.63,1065.73,1051.66,1062.52,1045.66,1056.4,1035.18,1048.94,1007.55,1023.15,1047.14,1057.93,1036.61,1010.58,1031.06,1014.78,995.07,1004.12,982.19,953.02,941.97,934.92,923.99,906.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Bruins,998.63,1004.43,1016.66,1010.58,1001.16,995.36,987.49,979.78,966.49,979.38,962.06,978.01,987.29,996.66,1009.83,1021.12,1038.67,1054.03,1034.31,1045.12,1028.5,1017.4,1029.06,1010.39,1029.22,1003.15,1013.32,998.82,1013.8,1031.91,1045.96,1061.14,1038.21,1055.53,1036.89,1022.01,997.89,973.65,956.45,945.92,977.16,986.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo Sabres,1032.62,1020.39,1014.97,1029.23,1042.44,1031.08,1043.12,1052.72,1043.08,1034.03,1024.75,1032.33,979.67,954.17,939.65,921.91,911.69,926.77,954.38,926.04,964.58,991.29,973.77,950.62,967.14,993.16,974.01,952.3,932.66,947.08,957.2,971.86,991.83,1005.44,1021.39,1034.18,1051.38,1062.1,1085.55,1052.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Flames,1002.48,982.06,968.93,956.54,945.91,928.63,920.89,915.78,905.11,923.76,917.27,910.88,900.71,911.47,934.95,915.28,900.64,889.12,912.45,904.02,890.92,919.26,936.11,956.77,940.67,960.45,951.24,922.6,952.21,971.39,991.03,978.49,991.61,971.65,984.68,1006.91,984.87,999.34,1009.87,1034.61,1020.95,994.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,1028.84,1036.42,1049.49,1058.36,1064.47,1047.12,1058.89,1050.03,1033.14,1047.57,1038.2,1053.71,1062.17,1076.69,1086.6,1059.8,1067.88,1052.39,1069.01,1054.7,1066.42,1039.71,1019.82,1042.68,1051.89,1024.15,1039.19,1014.56,1031.24,1045.91,1057.6,1068.49,1083.24,1070.06,1051.49,1029.22,1050.4,1060.07,1027.11,1009.9,1002.62,1017.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,900.65,894.85,889.84,904.39,924.7,916.57,924.41,935.72,925.74,945.45,931.77,925.01,977.94,998.26,1017.93,1040.54,1028.65,1038.94,1052.04,1037.81,999.27,992.5,982.9,967.57,988.79,975.95,988.58,958.59,934.6,960.38,945.54,923.03,913.53,896.29,884.62,873.91,893.36,869.84,862.93,881.67,897.47,911.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Avalanche,1229.76,1232.93,1221.17,1226.59,1231.94,1237.74,1225.12,1213.35,1200.46,1188.77,1198.27,1203.5,1190.51,1061.12,1086.72,1094.64,1116.67,1126.89,1142.04,1154.53,1161.63,1168.4,1185.45,1169.68,1184.91,1190.72,1160.25,1168.28,1176.03,1156.31,1169.94,1177.57,1183.15,1187.95,1209.24,1214.39,1219.89,1228.28,1235.55,1242.83,1223.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,968.01,986.73,977.98,972.63,983.19,1002.21,987.8,997.03,1006.08,1019.56,1024.78,1016.14,1001.07,987.31,973.97,985.94,997.58,985.99,998.09,979.06,991.03,979.06,957.58,945.14,934.94,956.32,968.25,955.43,945.12,928.44,909.92,901.43,917.71,907.97,898.92,920.08,943.13,967.96,954.52,987.17,975.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Stars,1055.47,1067.23,1081.71,1065.02,1049.56,1030.54,1021.3,1030.16,1036.86,1044.63,1037.6,1028.76,995.4,982.27,991.7,1003.46,1015.66,1048.99,1070.37,1056.48,1068.22,1051.37,1070.69,1080.33,1089.02,1109.96,1094.57,1110.16,1123.92,1132.45,1138.84,1112.35,1079.74,1095.71,1109.29,1129.0,1142.47,1126.4,1106.95,1083.5,1064.76,1051.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Red Wings,997.47,1011.94,1019.63,1034.35,1043.79,1053.3,1041.26,1021.42,1029.79,1039.08,1046.04,1027.96,1033.97,1021.69,997.8,975.19,1002.79,987.71,1000.86,1017.98,991.99,1003.96,991.89,963.33,949.89,939.72,954.22,942.29,954.07,975.26,987.8,967.1,989.61,1004.76,981.45,1006.79,1019.71,1035.78,1014.6,1025.78,1033.9,1019.28,995.65,1013.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
