,2025-10-07,2025-10-08,2025-10-09,2025-10-10,2025-10-11,2025-10-12,2025-10-13,2025-10-14,2025-10-15,2025-10-16,2025-10-17,2025-10-18,2025-10-19,2025-10-20,2025-10-21,2025-10-22,2025-10-23,2025-10-24,2025-10-25,2025-10-26,2025-10-27,2025-10-28,2025-10-29,2025-10-30,2025-10-31,2025-11-01,2025-11-02,2025-11-03,2025-11-04,2025-11-05,2025-11-06,2025-11-07,2025-11-08,2025-11-09,2025-11-10,2025-11-11,2025-11-12,2025-11-13,2025-11-14,2025-11-15,2025-11-16,2025-11-17,2025-11-18,2025-11-19,2025-11-20,2025-11-21,2025-11-22,2025-11-23,2025-11-24,2025-11-25,2025-11-26,2025-11-27,2025-11-28,2025-11-29,2025-11-30,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-06,2025-12-07,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-13,2025-12-14,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-20,2025-12-21,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-27,2025-12-28,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-03,2026-01-04,2026-01-05,2026-01-06
Anaheim Ducks,,,,990.4,990.4,999.21,990.4,990.4,1008.19,990.4,998.4,990.4,989.36,990.4,990.4,999.51,1008.58,990.4,998.52,990.4,990.4,1007.29,990.4,990.4,990.4,1018.59,990.4,1029.72,990.4,1039.9,990.4,1048.52,990.4,1056.34,1065.89,990.4,1054.82,990.4,1042.82,1031.29,990.4,990.4,1039.48,990.4,1047.89,1037.82,990.4,1045.77,990.4,990.4,990.4,1034.66,1042.61,990.4,1031.04,990.4,1038.85,990.4,1022.35,990.4,1032.12,990.4,1042.64,990.4,1050.46,990.4,1039.51,1027.69,990.4,990.4,1037.27,1026.15,990.4,990.4,1015.91,1023.0,990.4,1011.13,990.4,990.4,990.4,990.4,997.37,990.4,988.42,981.28,990.4,990.4,973.31,990.4,990.4,963.44
Boston Bruins,,1009.6,1017.93,1009.6,1026.72,1009.6,1016.78,1009.6,1009.6,1009.6,1007.58,1009.6,989.29,1009.6,980.4,1009.6,971.33,1009.6,981.36,1009.6,969.75,981.14,1009.6,990.09,1009.6,999.95,1009.6,1009.6,1009.6,1008.79,1009.6,1017.18,1009.6,1026.87,1009.6,1009.6,1035.8,1009.6,1025.09,1009.6,1033.58,1009.6,1024.13,1009.6,1015.72,1009.6,1024.12,1009.6,1013.7,1009.6,1009.6,1023.77,1011.67,1009.6,1019.84,1009.6,1009.6,1010.0,1009.6,1018.18,1009.6,1028.13,1009.6,1009.6,1036.16,1009.6,1044.72,1009.6,1033.47,1009.6,1009.6,1042.28,1009.6,1031.48,1009.6,1020.96,1009.25,1009.6,997.7,1009.6,1009.6,1009.6,987.99,1009.6,979.12,1009.6,991.56,1009.6,1009.6,999.2,1009.6,1009.6
Buffalo Sabres,,,988.46,988.46,979.67,988.46,970.9,988.46,982.64,988.46,988.46,993.45,988.46,984.5,988.46,995.5,988.46,1004.99,995.61,988.46,988.46,987.01,988.46,978.06,988.46,987.52,988.46,988.46,988.46,979.82,988.46,968.35,988.46,960.03,988.46,988.46,988.46,951.03,943.64,988.46,954.17,988.46,966.39,988.46,953.7,988.46,968.55,981.26,988.46,988.46,988.46,971.72,961.91,988.46,972.75,988.46,984.91,988.46,975.6,988.46,965.39,988.46,988.46,954.92,964.56,988.46,972.61,988.46,988.46,981.61,988.46,988.46,988.46,992.2,1001.93,988.46,1011.77,988.46,1020.7,988.46,988.46,988.46,1030.41,988.46,1037.76,988.46,1049.18,988.46,1035.33,988.46,988.46,988.46
Calgary Flames,,,1008.8,997.32,987.46,1008.8,1008.8,1008.8,977.97,968.71,1008.8,1008.8,958.13,1008.8,951.11,1008.8,944.18,1008.8,936.77,1008.8,949.24,941.5,1008.8,933.99,1008.8,925.15,1008.8,936.09,1008.8,1008.8,949.92,1008.8,939.99,1008.8,931.26,1008.8,922.87,1008.8,934.76,1008.8,927.98,1008.8,1008.8,920.03,932.72,1008.8,1008.8,944.22,955.19,1008.8,1008.8,946.8,957.99,1008.8,951.08,1008.8,1008.8,939.16,1008.8,952.5,1008.8,963.12,1008.8,973.59,1008.8,965.4,1008.8,1008.8,974.94,1008.8,1008.8,965.42,1008.8,974.22,1008.8,985.55,1008.8,1008.8,975.12,1008.8,1008.8,1008.8,985.05,1008.8,993.92,1008.8,1005.7,1008.8,1008.8,996.49,1008.8,984.86
Carolina Hurricanes,,,1010.4,1010.4,1018.72,1010.4,1010.4,1010.4,1028.75,1010.4,1038.54,1010.4,1045.68,1010.4,1034.53,1010.4,1010.4,1043.18,1010.4,1032.95,1010.4,1021.86,1010.4,1032.09,1010.4,1022.23,1010.4,1010.4,1010.4,1031.75,1010.4,1038.93,1010.4,1047.25,1055.12,1010.4,1042.72,1010.4,1010.4,1049.83,1039.17,1010.4,1048.62,1010.4,1038.41,1010.4,1047.07,1034.36,1010.4,1010.4,1010.4,1023.4,1033.99,1010.4,1040.9,1010.4,1010.4,1010.4,1010.4,1028.1,1010.4,1024.27,1010.4,1010.4,1033.05,1010.4,1042.5,1010.4,1058.72,1010.4,1010.4,1010.4,1066.53,1010.4,1056.73,1046.08,1010.4,1010.4,1034.97,1010.4,1010.4,1010.4,1045.34,1010.4,1052.74,1038.35,1010.4,1028.01,1010.4,1021.68,1030.46,1010.4
Chicago Blackhawks,991.2,991.2,982.87,991.2,974.53,991.2,991.2,984.85,991.2,997.66,991.2,988.96,998.0,991.2,991.2,991.2,1006.01,991.2,991.2,995.56,991.2,991.2,1007.04,991.2,997.35,991.2,988.28,991.2,978.76,991.2,989.59,991.2,999.52,1011.14,991.2,991.2,991.2,1003.04,991.2,991.2,1011.39,991.2,991.2,1019.34,991.2,1009.81,994.96,991.2,988.4,991.2,991.2,980.53,991.2,970.39,981.96,991.2,991.2,973.02,991.2,982.31,991.2,969.54,959.02,991.2,991.2,970.73,991.2,960.86,950.75,991.2,991.2,942.83,991.2,933.84,925.98,991.2,991.2,991.2,918.59,991.2,991.2,991.2,931.3,920.39,991.2,914.15,991.2,926.45,991.2,937.12,946.62,991.2
Colorado Avalanche,,1010.4,1010.4,1018.94,1010.4,1009.88,1018.65,1010.4,1010.4,1028.29,1010.4,1010.4,1038.07,1010.4,1010.4,1028.76,1010.4,1020.11,1010.08,1002.35,1010.4,1010.4,1015.4,1010.4,1025.16,1014.8,1010.4,1010.4,1010.4,1023.47,1010.4,1010.4,1010.4,1035.96,1043.64,1010.4,1054.71,1010.4,1062.1,1010.4,1010.4,1071.29,1010.4,1010.4,1010.4,1079.42,1010.4,1085.59,1092.15,1010.4,1010.4,1101.8,1091.29,1100.63,1010.4,1010.4,1010.4,1106.25,1010.4,1093.11,1100.06,1107.13,1010.4,1010.4,1094.45,1010.4,1102.75,1010.4,1108.77,1010.4,1010.4,1114.08,1010.4,1010.4,1119.23,1129.22,1010.4,1010.4,1134.52,1010.4,1010.4,1010.4,1140.02,1010.4,1145.78,1010.4,1151.4,1010.4,1010.4,1145.41,1010.4,1010.4
Columbus Blue Jackets,,,,991.2,991.2,1002.22,993.34,991.2,991.2,983.7,991.2,992.29,991.2,991.2,991.2,1003.97,991.2,993.56,1003.42,991.2,991.2,1012.02,1022.03,991.2,991.2,1029.07,1019.33,991.2,991.2,991.2,1005.5,991.2,991.2,996.11,991.2,986.51,995.32,991.2,1003.83,991.2,995.03,991.2,1004.07,994.23,991.2,1002.79,994.14,991.2,991.2,983.24,991.2,974.0,991.2,965.68,991.2,991.2,977.18,991.2,991.2,986.27,977.14,991.2,969.55,991.2,960.77,991.2,950.82,991.2,943.44,991.2,991.2,954.56,991.2,947.38,991.2,940.29,991.2,950.97,991.2,991.2,991.2,991.2,962.88,991.2,974.31,991.2,965.46,991.2,979.31,970.73,991.2,991.2
Dallas Stars,,,,1008.8,1008.8,1017.86,1008.8,1008.8,1028.01,1008.8,1017.39,1007.19,1008.8,1008.8,1008.8,995.51,1008.8,986.18,1008.8,1005.04,1008.8,1008.8,1014.32,1004.89,1008.8,995.68,1008.8,1008.8,1008.8,1004.22,1008.8,995.6,1003.12,1008.8,1011.73,1008.8,1020.34,1008.8,1034.19,1008.8,1044.51,1008.8,1008.8,1034.9,1008.8,1042.76,1008.8,1031.26,1008.8,1008.8,1041.12,1048.88,1008.8,1056.23,1066.44,1008.8,1008.8,1055.95,1065.39,1008.8,1073.63,1080.86,1008.8,1008.8,1087.18,1008.8,1074.89,1008.8,1061.13,1008.8,1069.29,1008.8,1008.8,1077.37,1087.61,1008.8,1095.25,1084.66,1008.8,1008.8,1008.8,1008.8,1071.95,1008.8,1008.8,1008.8,1060.53,1048.23,1008.8,1038.47,1008.8,1008.8
Detroit Red Wings,,,988.46,988.46,999.52,988.46,1008.32,988.46,1018.97,988.46,1026.87,988.46,1035.49,988.46,988.46,1024.49,1011.62,988.46,1020.53,988.46,988.46,988.46,1029.39,988.46,1037.29,1025.99,988.46,1033.46,988.46,1024.1,988.46,988.46,1012.49,1000.87,988.46,988.46,988.46,988.46,1012.87,988.46,1002.34,1011.4,988.46,1020.67,988.46,1008.71,1017.36,988.46,988.46,1008.65,988.46,995.49,986.78,988.46,978.61,988.46,988.46,988.45,988.46,979.36,988.46,987.86,988.46,997.68,988.46,1005.87,994.65,988.46,1004.76,988.46,988.46,1014.75,1003.05,988.46,1014.38,1023.4,988.46,1033.99,988.46,988.46,988.46,988.46,1023.62,1031.47,988.46,1037.85,988.46,1027.24,1015.32,988.46,988.46,1024.58
