,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
Anaheim Ducks,990.4,999.21,1008.19,998.4,989.36,999.51,1008.58,998.52,1007.29,1018.59,1029.72,1039.9,1048.52,1056.34,1065.89,1054.82,1042.82,1031.29,1039.48,1047.89,1037.82,1045.77,1034.66,1042.61,1031.04,1038.85,1022.35,1032.12,1042.64,1050.46,1039.51,1027.69,1037.27,1026.15,1015.91,1023.0,1011.13,997.37,988.42,981.28,973.31,963.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Bruins,1009.6,1017.93,1026.72,1016.78,1007.58,997.8,989.29,980.4,971.33,981.36,969.75,981.14,990.09,999.95,1008.79,1017.18,1026.87,1035.8,1025.09,1033.58,1024.13,1015.72,1024.12,1013.7,1023.77,1011.67,1019.84,1010.0,1018.18,1028.13,1036.16,1044.72,1033.47,1042.28,1031.48,1020.96,1009.25,997.7,987.99,979.12,991.56,999.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo Sabres,988.46,979.67,970.9,982.64,993.45,984.5,995.5,1004.99,995.61,987.01,978.06,987.52,979.82,968.35,960.03,951.03,943.64,954.17,966.39,953.7,968.55,981.26,971.72,961.91,972.75,984.91,975.6,965.39,954.92,964.56,972.61,981.61,992.2,1001.93,1011.77,1020.7,1030.41,1037.76,1049.18,1035.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calgary Flames,1008.8,997.32,987.46,977.97,968.71,958.13,951.11,944.18,936.77,949.24,941.5,933.99,925.15,936.09,949.92,939.99,931.26,922.87,934.76,927.98,920.03,932.72,944.22,955.19,946.8,957.99,951.08,939.16,952.5,963.12,973.59,965.4,974.94,965.42,974.22,985.55,975.12,985.05,993.92,1005.7,996.49,984.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carolina Hurricanes,1010.4,1018.72,1028.75,1038.54,1045.68,1034.53,1043.18,1032.95,1021.86,1032.09,1022.23,1031.75,1038.93,1047.25,1055.12,1042.72,1049.83,1039.17,1048.62,1038.41,1047.07,1034.36,1023.4,1033.99,1040.9,1028.1,1036.22,1024.27,1033.05,1042.5,1050.82,1058.72,1066.53,1056.73,1046.08,1034.97,1045.34,1052.74,1038.35,1028.01,1021.68,1030.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicago Blackhawks,991.2,982.87,974.53,984.85,997.66,988.96,998.0,1006.01,995.56,1007.04,997.35,988.28,978.76,989.59,999.52,1011.14,1003.04,1011.39,1019.34,1009.81,994.96,988.4,980.53,970.39,981.96,973.02,982.31,969.54,959.02,970.73,960.86,950.75,942.83,933.84,925.98,918.59,931.3,920.39,914.15,926.45,937.12,946.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Avalanche,1010.4,1018.94,1009.88,1018.65,1028.29,1038.07,1028.76,1020.11,1010.08,1002.35,1015.4,1025.16,1014.8,1023.47,1035.96,1043.64,1054.71,1062.1,1071.29,1079.42,1085.59,1092.15,1101.8,1091.29,1100.63,1106.25,1093.11,1100.06,1107.13,1094.45,1102.75,1108.77,1114.08,1119.23,1129.22,1134.52,1140.02,1145.78,1151.4,1157.73,1145.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus Blue Jackets,991.2,1002.22,993.34,983.7,992.29,1003.97,993.56,1003.42,1012.02,1022.03,1029.07,1019.33,1005.5,996.11,986.51,995.32,1003.83,995.03,1004.07,994.23,1002.79,994.14,983.24,974.0,965.68,977.18,986.27,977.14,969.55,960.77,950.82,943.44,954.56,947.38,940.29,950.97,962.88,974.31,965.46,979.31,970.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Stars,1008.8,1017.86,1028.01,1017.39,1007.19,995.51,986.18,996.41,1005.04,1014.32,1004.89,995.68,1004.22,995.6,1003.12,1011.73,1020.34,1034.19,1044.51,1034.9,1042.76,1031.26,1041.12,1048.88,1056.23,1066.44,1055.95,1065.39,1073.63,1080.86,1087.18,1074.89,1061.13,1069.29,1077.37,1087.61,1095.25,1084.66,1071.95,1060.53,1048.23,1038.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detroit Red Wings,988.46,999.52,1008.32,1018.97,1026.87,1035.49,1024.49,1011.62,1020.53,1029.39,1037.29,1025.99,1033.46,1024.1,1012.49,1000.87,1012.87,1002.34,1011.4,1020.67,1008.71,1017.36,1008.65,995.49,986.78,978.61,988.45,979.36,987.86,997.68,1005.87,994.65,1004.76,1014.75,1003.05,1014.38,1023.4,1033.99,1023.62,1031.47,1037.85,1027.24,1015.32,1024.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
